STATISTIC,Statistic,TLIST(A1),Year,C02039V02469,Type of Crop,UNIT,VALUE
AQA03C1,Area under Crops,1991,1991,1,"Total wheat, oats and barley",000 Hectares,299.6
AQA03C1,Area under Crops,1991,1991,11,Total wheat,000 Hectares,85.7
AQA03C1,Area under Crops,1991,1991,111,Winter wheat,000 Hectares,66.9
AQA03C1,Area under Crops,1991,1991,112,Spring wheat,000 Hectares,18.8
AQA03C1,Area under Crops,1991,1991,12,Total oats,000 Hectares,20.6
AQA03C1,Area under Crops,1991,1991,121,Winter oats,000 Hectares,11.4
AQA03C1,Area under Crops,1991,1991,122,Spring oats,000 Hectares,9.2
AQA03C1,Area under Crops,1991,1991,13,Total barley,000 Hectares,193.4
AQA03C1,Area under Crops,1991,1991,131,Winter barley,000 Hectares,33.3
AQA03C1,Area under Crops,1991,1991,132,Spring barley,000 Hectares,160.1
AQA03C1,Area under Crops,1991,1991,2,Beans and peas,000 Hectares,2.8
AQA03C1,Area under Crops,1991,1991,3,Oilseed rape,000 Hectares,6.2
AQA03C1,Area under Crops,1991,1991,4,Potatoes,000 Hectares,20.5
AQA03C1,Area under Crops,1991,1991,5,Turnips,000 Hectares,6
AQA03C1,Area under Crops,1991,1991,61,Sugar beet,000 Hectares,33.3
AQA03C1,Area under Crops,1991,1991,62,Fodder beet,000 Hectares,10.1
AQA03C1,Area under Crops,1991,1991,7,Kale and field cabbage,000 Hectares,1.4
AQA03C1,Area under Crops,1992,1992,1,"Total wheat, oats and barley",000 Hectares,295.1
AQA03C1,Area under Crops,1992,1992,11,Total wheat,000 Hectares,90.6
AQA03C1,Area under Crops,1992,1992,111,Winter wheat,000 Hectares,73.3
AQA03C1,Area under Crops,1992,1992,112,Spring wheat,000 Hectares,17.3
AQA03C1,Area under Crops,1992,1992,12,Total oats,000 Hectares,20.1
AQA03C1,Area under Crops,1992,1992,121,Winter oats,000 Hectares,11.6
AQA03C1,Area under Crops,1992,1992,122,Spring oats,000 Hectares,8.4
AQA03C1,Area under Crops,1992,1992,13,Total barley,000 Hectares,184.4
AQA03C1,Area under Crops,1992,1992,131,Winter barley,000 Hectares,40.3
AQA03C1,Area under Crops,1992,1992,132,Spring barley,000 Hectares,144
AQA03C1,Area under Crops,1992,1992,2,Beans and peas,000 Hectares,2.7
AQA03C1,Area under Crops,1992,1992,3,Oilseed rape,000 Hectares,5.9
AQA03C1,Area under Crops,1992,1992,4,Potatoes,000 Hectares,22.1
AQA03C1,Area under Crops,1992,1992,5,Turnips,000 Hectares,5.5
AQA03C1,Area under Crops,1992,1992,61,Sugar beet,000 Hectares,31.3
AQA03C1,Area under Crops,1992,1992,62,Fodder beet,000 Hectares,11
AQA03C1,Area under Crops,1992,1992,7,Kale and field cabbage,000 Hectares,1.9
AQA03C1,Area under Crops,1993,1993,1,"Total wheat, oats and barley",000 Hectares,280.3
AQA03C1,Area under Crops,1993,1993,11,Total wheat,000 Hectares,79.2
AQA03C1,Area under Crops,1993,1993,111,Winter wheat,000 Hectares,57.2
AQA03C1,Area under Crops,1993,1993,112,Spring wheat,000 Hectares,22
AQA03C1,Area under Crops,1993,1993,12,Total oats,000 Hectares,20.2
AQA03C1,Area under Crops,1993,1993,121,Winter oats,000 Hectares,11.4
AQA03C1,Area under Crops,1993,1993,122,Spring oats,000 Hectares,8.8
AQA03C1,Area under Crops,1993,1993,13,Total barley,000 Hectares,180.8
AQA03C1,Area under Crops,1993,1993,131,Winter barley,000 Hectares,39.4
AQA03C1,Area under Crops,1993,1993,132,Spring barley,000 Hectares,141.4
AQA03C1,Area under Crops,1993,1993,2,Beans and peas,000 Hectares,6.1
AQA03C1,Area under Crops,1993,1993,3,Oilseed rape,000 Hectares,3.4
AQA03C1,Area under Crops,1993,1993,4,Potatoes,000 Hectares,21.6
AQA03C1,Area under Crops,1993,1993,5,Turnips,000 Hectares,5.2
AQA03C1,Area under Crops,1993,1993,61,Sugar beet,000 Hectares,32.2
AQA03C1,Area under Crops,1993,1993,62,Fodder beet,000 Hectares,10.9
AQA03C1,Area under Crops,1993,1993,7,Kale and field cabbage,000 Hectares,1.8
AQA03C1,Area under Crops,1994,1994,1,"Total wheat, oats and barley",000 Hectares,264.7
